Date      ,AccountId              ,Balance  
2026-04-30,checking               ,23182.42 
2026-04-30,k401                   ,0        
2026-04-30,brokerage              ,234.54   
2026-04-30,roth_ira               ,1104.53  
2026-04-30,student_loan1_principal,-11000
2026-04-30,student_loan1_interest ,-1901.13        
2026-04-30,student_loan2_principal,-12000
2026-04-30,student_loan2_interest ,-203.44        
2026-04-30,student_loan3_principal,-28788
2026-04-30,student_loan3_interest ,-6714.35        
2026-05-01,student_loan3_principal,-25528.12
2026-05-01,student_loan3_interest ,-21.16
2026-05-01,student_loan2_principal,-10917.70
2026-05-01,student_loan2_interest ,-4.11
